table_iid,column_iid,column_label,ordinal,required,storage_type,value_domain_type,allowed_values,vocab_ref,null_tokens,description,notes
parties,party_id,Party ID,1,yes,string,pattern,UUIDv4,,none,Opaque UUIDv4 identifying one person or organization.,
parties,party_iid,Party IID,2,yes,string,pattern,^[a-z0-9]+(-[a-z0-9]+)*$,,none,Human-readable immutable identifier for one person or organization.,
parties,type,Party type,3,yes,string,enum,person|organization,,none,Whether the party is a person or organization.,
parties,given_name,Given name,4,conditional,string,free_text,,,blank|nap,"Given/first name; required for person, nap for organization.",
parties,middle_name,Middle name,5,no,string,free_text,,,blank|nap,Middle name or initial.,
parties,surname,Surname,6,conditional,string,free_text,,,blank|nap,"Family/last name; required for person, nap for organization.",
parties,org_name,Organization name,7,conditional,string,free_text,,,blank|nap,Name of party when type=organization; nap for person.,
parties,email,Email,8,no,string,free_text,,,blank|nap|unk,Contact email when known and appropriate to record.,
parties,orcid,ORCID,9,no,string,pattern,^https://orcid\.org/[0-9]{4}-[0-9]{4}-[0-9]{4}-[0-9]{3}[0-9X]$,,blank|nap|unk,Full ORCID URL; person parties only.,
parties,organization,Affiliation,10,no,string,free_text,,,blank|nap|unk,Organizational affiliation for a person party.,
parties,role_default,Default role,11,no,string,free_text,,,blank|nap|unk,Informal typical role; release-specific roles belong in party-roles.,
parties,notes,Notes,12,no,string,free_text,,,blank|nap|unk,Curator notes.,
party-roles,ds_iid,Dataset IID,1,yes,string,vocab,,registry--packages,none,Dataset to which the contribution applies.,
party-roles,release_slug,Release slug,2,conditional,string,vocab,,registry--packages,blank,Specific release; blank means dataset-level role across releases.,
party-roles,party_iid,Party IID,3,yes,string,vocab,,registry--parties,none,Party holding this role.,
party-roles,role_schema,Role schema,4,yes,string,enum,credit|datacite|eml,,none,Vocabulary/schema from which role is drawn.,
party-roles,role,Role,5,yes,string,free_text,,,none,Role term from role_schema; validated against that schema vocabulary.,
party-roles,role_degree,Role degree,6,no,string,enum,lead|equal|supporting,,blank|nap,Optional degree-of-contribution qualifier.,
party-roles,role_order,Role order,7,no,integer,range,1..,,blank|nap,Contributor/author order when meaningful.,
party-roles,notes,Notes,8,no,string,free_text,,,blank|nap|unk,Curator notes.,
vocab-schema,concept_iid,Concept ID,1,yes,string,pattern,^[a-z0-9]+(?:-[a-z0-9]+)*--[a-z0-9]+(?:-[a-z0-9]+)*$,,none,"Stable, globally unique identifier for the concept within the registry vocabulary system.",Form: {vocab_iid}--{term_code}. Immutable; do not reuse an identifier for a different concept.
vocab-schema,term_code,Term code,2,yes,string,pattern,^[a-z0-9]+(?:-[a-z0-9]+)*$,,none,Machine-readable code stored in registry/data fields when this vocabulary governs a value.,Use lowercase kebab-case. Stable after publication; prefer deprecation to changing a code.
vocab-schema,pref_label,Preferred label,3,yes,string,free_text,,,none,Preferred human-readable label for the concept.,
vocab-schema,alt_labels,Alternative labels,4,no,string,free_text,,,blank|nap|unk,"Alternative labels, synonyms, abbreviations, spelling variants, or source-specific renderings.","When multiple values are present, separate them with an unpadded pipe: value1|value2."
vocab-schema,definition,Definition,5,yes,string,free_text,,,none,Definition of the concept represented by this term.,Use the canonical external definition when adopting a published standard; otherwise write a project-local definition.
vocab-schema,broader_id,Broader concept,6,no,string,pattern,^[a-z0-9]+(?:-[a-z0-9]+)*--[a-z0-9]+(?:-[a-z0-9]+)*$,,blank|nap|unk,concept_iid of the immediate broader or parent concept in a hierarchical vocabulary.,Leave blank when the vocabulary is not hierarchical or the concept has no broader term.
vocab-schema,status,Status,7,yes,string,enum,active|proposed|deprecated,,none,Lifecycle state of the vocabulary concept.,Deprecated concepts remain in the vocabulary so historical data can still be interpreted.
vocab-schema,created,Created,8,yes,string,pattern,^\d{4}-\d{2}-\d{2}$,,none,"Date the concept record was first added, in ISO 8601 calendar-date form YYYY-MM-DD.",
vocab-schema,modified,Modified,9,yes,string,pattern,^\d{4}-\d{2}-\d{2}$,,none,"Date the concept record was last substantively changed, in ISO 8601 calendar-date form YYYY-MM-DD.",
vocab-schema,scope_note,Scope note,10,no,string,free_text,,,blank|nap|unk,"Notes describing where, when, or how the concept should be applied.",
vocab-schema,related_ids,Related concepts,11,no,string,free_text,,,blank|nap|unk,concept_iid values for associated concepts that are related but are not broader/narrower or equivalence mappings.,Use an unpadded pipe between multiple concept_iid values.
vocab-schema,exact_match_ids,Exact matches,12,no,string,free_text,,,blank|nap|unk,External concept identifiers or URIs judged to have the same meaning as this concept.,Use an unpadded pipe between multiple identifiers.
vocab-schema,close_match_ids,Close matches,13,no,string,free_text,,,blank|nap|unk,"External concept identifiers or URIs with closely related, but not identical, meaning.",Use an unpadded pipe between multiple identifiers.
vocab-schema,replaced_by,Replaced by,14,conditional,string,pattern,^[a-z0-9]+(?:-[a-z0-9]+)*--[a-z0-9]+(?:-[a-z0-9]+)*$,,blank|nap|unk,concept_iid of the preferred successor concept when this concept is deprecated.,Expected when status=deprecated and a direct successor exists.
vocab-schema,source,Source,15,yes,string,free_text,,,none,"Authoritative source for the concept or definition, such as a standard, citation, URL, or the lab-local registry standard.","For adopted external vocabularies, prefer the canonical source rather than a secondary description."
vocab-schema,note,Note,16,no,string,free_text,,,blank|nap|unk,Curator comments that do not belong in the formal definition or scope note.,
